Index,Image_name,PSNR,SSIM
1213,data_4840.png,50.367919,0.994454086
1222,data_4849.png,49.57846073,0.992383957
902,data_17481.png,48.69618387,0.982700765
1221,data_4848.png,48.57711632,0.991932571
845,data_16085.png,48.43769084,0.98229903
1218,data_4845.png,48.34154205,0.990956783
1211,data_4838.png,48.33706609,0.991794527
837,data_16077.png,48.26566195,0.981749535
908,data_17487.png,48.20055709,0.982870758
800,data_15442.png,47.95073762,0.98131597
909,data_17488.png,47.90511859,0.979994178
1217,data_4844.png,47.70288276,0.991302013
846,data_16086.png,47.67865712,0.980332255
805,data_15447.png,47.6691287,0.979385614
1214,data_4841.png,47.59282355,0.989990711
851,data_16091.png,47.54725963,0.981160045
807,data_15449.png,47.53974983,0.983191967
812,data_15454.png,47.5376619,0.982180536
813,data_15967.png,47.40861071,0.979809761
860,data_16100.png,47.34949018,0.97918582
792,data_15434.png,47.29745598,0.978730381
1215,data_4842.png,47.24884857,0.988851547
844,data_16084.png,47.23101162,0.981227279
912,data_17491.png,47.18997564,0.980305552
838,data_16078.png,47.16263053,0.980019033
793,data_15435.png,47.1515948,0.978455722
1232,data_4859.png,47.09161665,0.991073608
1206,data_4833.png,46.94881515,0.986853838
1220,data_4847.png,46.86542989,0.990406036
799,data_15441.png,46.85593124,0.977163494
839,data_16079.png,46.76444176,0.980169773
829,data_15983.png,46.67010735,0.973679483
847,data_16087.png,46.65419412,0.97443223
887,data_16127.png,46.65174933,0.974030375
897,data_17476.png,46.65042332,0.977431953
894,data_17473.png,46.63302939,0.979439914
852,data_16092.png,46.597867,0.980027378
895,data_17474.png,46.48173169,0.978628814
808,data_15450.png,46.47370514,0.973060727
806,data_15448.png,46.41625797,0.979068279
859,data_16099.png,46.41142166,0.978531957
835,data_15989.png,46.38197875,0.974545002
881,data_16121.png,46.37624214,0.97334671
1210,data_4837.png,46.36416349,0.986564636
828,data_15982.png,46.33993686,0.974175394
811,data_15453.png,46.31067015,0.974327326
814,data_15968.png,46.28393201,0.97471118
801,data_15443.png,46.26854656,0.972776115
804,data_15446.png,46.21227335,0.972717941
798,data_15440.png,46.11370309,0.976615846
820,data_15974.png,46.09119974,0.977283239
880,data_16120.png,46.09037972,0.972227991
853,data_16093.png,46.08198484,0.978222489
1219,data_4846.png,46.05471377,0.989863753
827,data_15981.png,46.02586254,0.977340698
850,data_16090.png,46.01187898,0.974088132
794,data_15436.png,45.94355166,0.970232666
670,data_14155.png,45.89615283,0.969352126
904,data_17483.png,45.88471384,0.975220382
857,data_16097.png,45.77840915,0.973013401
826,data_15980.png,45.73518724,0.974912643
840,data_16080.png,45.72978502,0.974416256
849,data_16089.png,45.68048052,0.969590187
858,data_16098.png,45.64346901,0.975769937
1228,data_4855.png,45.62083382,0.986963749
823,data_15977.png,45.6052607,0.968681991
855,data_16095.png,45.60483786,0.971405864
1229,data_4856.png,45.57757276,0.989010334
1238,data_4865.png,45.55442675,0.988023937
893,data_16133.png,45.5202746,0.970587969
873,data_16113.png,45.50527783,0.971013546
841,data_16081.png,45.49974574,0.970816612
831,data_15985.png,45.47976936,0.968986034
797,data_15439.png,45.47722319,0.968548715
869,data_16109.png,45.46867761,0.968293846
901,data_17480.png,45.44017293,0.980618954
822,data_15976.png,45.42930653,0.970927715
898,data_17477.png,45.37089545,0.976446331
856,data_16096.png,45.32656112,0.968388081
905,data_17484.png,45.29983758,0.974532127
1216,data_4843.png,45.22256461,0.988038719
874,data_16114.png,45.20613294,0.971329212
888,data_16128.png,45.16301008,0.973010659
821,data_15975.png,45.16045215,0.972968042
861,data_16101.png,45.15618006,0.965857923
892,data_16132.png,45.08694521,0.969653606
830,data_15984.png,45.08675064,0.969682574
872,data_16112.png,45.0839798,0.967362285
1207,data_4834.png,45.0788116,0.981428802
1225,data_4852.png,45.06459183,0.98989743
1212,data_4839.png,45.02492253,0.986980379
848,data_16088.png,45.01332483,0.971791685
871,data_16111.png,45.00956874,0.964843035
834,data_15988.png,44.99132157,0.97514838
891,data_16131.png,44.94702364,0.965964735
1233,data_4860.png,44.87799244,0.982142627
796,data_15438.png,44.82823468,0.965474963
879,data_16119.png,44.81203434,0.969953954
795,data_15437.png,44.72805827,0.965817094
882,data_16122.png,44.67840548,0.963581264
819,data_15973.png,44.66758466,0.970522046
863,data_16103.png,44.65452883,0.963859439
867,data_16107.png,44.65378785,0.968298078
896,data_17475.png,44.58334475,0.975209713
843,data_16083.png,44.57231671,0.970982909
854,data_16094.png,44.54498227,0.969350338
862,data_16102.png,44.47131796,0.96342057
836,data_16076.png,44.44847494,0.971356153
1236,data_4863.png,44.44241065,0.985775352
816,data_15970.png,44.42873299,0.961159647
832,data_15986.png,44.33111526,0.96871531
885,data_16125.png,44.24358288,0.964831471
777,data_14995.png,44.209009,0.959366322
733,data_14935.png,44.1396353,0.957491279
1231,data_4858.png,44.10593911,0.984739482
864,data_16104.png,44.09877935,0.963322043
889,data_16129.png,44.09671479,0.966589332
756,data_14974.png,44.08842454,0.963190556
903,data_17482.png,44.02927464,0.971225202
878,data_16118.png,44.02664282,0.963488936
886,data_16126.png,44.00020648,0.965720594
784,data_15002.png,43.92942836,0.959293604
815,data_15969.png,43.91513416,0.967820525
778,data_14996.png,43.90111715,0.955535591
791,data_15009.png,43.87290913,0.958781719
771,data_14989.png,43.81809018,0.956469536
907,data_17486.png,43.72673534,0.956933498
671,data_14156.png,43.72054911,0.96039474
739,data_14941.png,43.70187662,0.956951499
675,data_14549.png,43.63465957,0.952595413
264,data_1170.png,43.61368627,0.955925167
825,data_15979.png,43.60366025,0.967859387
760,data_14978.png,43.58109406,0.952360034
738,data_14940.png,43.57926104,0.953830123
876,data_16116.png,43.57173562,0.960087299
911,data_17490.png,43.56048127,0.959337473
899,data_17478.png,43.5544138,0.955492675
669,data_14154.png,43.55038133,0.955631375
780,data_14998.png,43.54109002,0.952967525
762,data_14980.png,43.53768638,0.953745008
1223,data_4850.png,43.53008889,0.981080711
833,data_15987.png,43.51258396,0.97011131
890,data_16130.png,43.50424142,0.96499747
259,data_1165.png,43.49062893,0.949757218
875,data_16115.png,43.49012275,0.962194681
740,data_14942.png,43.48406525,0.958307266
639,data_13826.png,43.47817903,0.951848388
787,data_15005.png,43.4641674,0.954971194
824,data_15978.png,43.4453948,0.960252702
884,data_16124.png,43.39435292,0.957450986
730,data_14932.png,43.35157292,0.950385273
1230,data_4857.png,43.34106505,0.983871639
786,data_15004.png,43.30847384,0.953063488
1237,data_4864.png,43.30265387,0.985744953
758,data_14976.png,43.27470448,0.953916728
703,data_14577.png,43.27014516,0.952302814
754,data_14972.png,43.2677304,0.948977232
779,data_14997.png,43.25162357,0.953672886
688,data_14562.png,43.25021998,0.951622248
759,data_14977.png,43.24808,0.957705855
866,data_16106.png,43.2387962,0.962780178
913,data_17492.png,43.21028565,0.963835478
687,data_14561.png,43.19738253,0.948895395
736,data_14938.png,43.19008736,0.952579975
647,data_13834.png,43.1752715,0.95140636
682,data_14556.png,43.16935682,0.951536179
689,data_14563.png,43.15737737,0.951352775
646,data_13833.png,43.1553544,0.951242626
702,data_14576.png,43.14846399,0.949862838
708,data_14582.png,43.13993119,0.951514423
726,data_14928.png,43.12582475,0.952343583
761,data_14979.png,43.10765935,0.952856958
731,data_14933.png,43.10342389,0.953283548
751,data_14953.png,43.06447102,0.948781967
741,data_14943.png,43.05883875,0.950641096
674,data_14548.png,43.02063776,0.94894743
1698,data_9006.png,43.00746679,0.946676612
709,data_14583.png,42.98937934,0.95083797
1690,data_8999.png,42.95972129,0.946929455
1204,data_4831.png,42.93804748,0.97468102
868,data_16108.png,42.91973207,0.958908975
645,data_13832.png,42.91691024,0.946793079
723,data_14925.png,42.91063666,0.950928211
842,data_16082.png,42.89660489,0.964105964
773,data_14991.png,42.89449373,0.949710071
697,data_14571.png,42.86103174,0.950654745
770,data_14988.png,42.8441161,0.953536391
266,data_1172.png,42.84036844,0.94690609
260,data_1166.png,42.83082445,0.946607947
763,data_14981.png,42.82911486,0.950164318
1689,data_8998.png,42.8151486,0.947200298
716,data_14918.png,42.80547472,0.945663691
728,data_14930.png,42.80540269,0.945150137
735,data_14937.png,42.7720913,0.9486956
681,data_14555.png,42.74648554,0.947841763
710,data_14584.png,42.73882989,0.951396823
729,data_14931.png,42.70923094,0.947631061
676,data_14550.png,42.69940543,0.948921621
265,data_1171.png,42.69740995,0.945800304
1493,data_7252.png,42.68214076,0.942548752
803,data_15445.png,42.68047869,0.950093448
743,data_14945.png,42.66981912,0.951819122
734,data_14936.png,42.66849143,0.947327137
732,data_14934.png,42.65913286,0.951142967
1416,data_60.png,42.64111881,0.943369627
1716,data_9024.png,42.60933956,0.943669081
683,data_14557.png,42.59911919,0.949643791
651,data_13868.png,42.59460418,0.943298578
1461,data_7213.png,42.58106042,0.947437882
719,data_14921.png,42.57848188,0.944216907
1696,data_9004.png,42.57231922,0.942966461
1634,data_7913.png,42.56740994,0.942099571
790,data_15008.png,42.55576866,0.945345521
1704,data_9012.png,42.5545917,0.94399631
1647,data_7926.png,42.54407579,0.942161024
1719,data_9027.png,42.53657347,0.943594217
727,data_14929.png,42.5266766,0.94315666
711,data_14585.png,42.516434,0.947413564
772,data_14990.png,42.51085592,0.949050307
648,data_13835.png,42.50703162,0.945672214
704,data_14578.png,42.50004075,0.948913693
258,data_1164.png,42.48845589,0.946238697
1224,data_4851.png,42.4800868,0.975438237
877,data_16117.png,42.44961643,0.954476833
746,data_14948.png,42.43070183,0.941262186
1722,data_9030.png,42.42110985,0.93983829
1654,data_7933.png,42.41832664,0.942649543
695,data_14569.png,42.41163294,0.948619008
1646,data_7925.png,42.40688161,0.940314651
701,data_14575.png,42.40188649,0.948587537
1718,data_9026.png,42.38382667,0.942669094
644,data_13831.png,42.38137536,0.944237828
1483,data_7235.png,42.37336098,0.947348118
1710,data_9018.png,42.36609877,0.942887902
781,data_14999.png,42.36189367,0.940986633
1040,data_3446.png,42.34374603,0.938232422
1494,data_7253.png,42.33415113,0.940456748
1709,data_9017.png,42.33105623,0.944446087
1536,data_7466.png,42.32611458,0.953051269
1688,data_8997.png,42.31606112,0.943461776
237,data_1156.png,42.31538379,0.939343333
554,data_13336.png,42.29869143,0.937939644
764,data_14982.png,42.26600962,0.946950376
1703,data_9011.png,42.24807425,0.940860212
906,data_17485.png,42.24183108,0.957378387
1492,data_7251.png,42.23071669,0.939423323
562,data_13344.png,42.22769647,0.937647939
1039,data_3445.png,42.22139697,0.938082874
1697,data_9005.png,42.21778035,0.942345262
1701,data_9009.png,42.1998753,0.939155281
747,data_14949.png,42.19366326,0.940966785
1633,data_7912.png,42.18942404,0.937510967
1648,data_7927.png,42.18919194,0.938509941
257,data_1163.png,42.18877176,0.946026564
36,data_10432.png,42.18852425,0.93730253
633,data_13820.png,42.17059415,0.938454747
78,data_10567.png,42.16029751,0.937088132
63,data_10552.png,42.15801345,0.935765982
549,data_13331.png,42.15758251,0.94431752
765,data_14983.png,42.15278659,0.942532539
1699,data_9007.png,42.15003948,0.937067509
776,data_14994.png,42.14812866,0.939032912
782,data_15000.png,42.13354435,0.939744949
641,data_13828.png,42.13114959,0.944722533
1581,data_7511.png,42.13097017,0.948483706
1293,data_5232.png,42.12639638,0.937132835
783,data_15001.png,42.12058113,0.940862656
775,data_14993.png,42.10552439,0.937328279
1024,data_3431.png,42.1014654,0.937318265
1481,data_7233.png,42.09531089,0.942223549
1714,data_9022.png,42.09516795,0.9372558
1641,data_7920.png,42.09385614,0.940298557
720,data_14922.png,42.09145065,0.938003242
1720,data_9028.png,42.09069727,0.937039137
564,data_13346.png,42.08094866,0.937274635
1694,data_9002.png,42.07192489,0.938456059
218,data_11518.png,42.05631099,0.935990036
1707,data_9015.png,42.05027172,0.937148929
1325,data_5300.png,42.04186749,0.940464616
1591,data_7521.png,42.03631126,0.946544766
217,data_11517.png,42.01710403,0.936843574
753,data_14971.png,42.00240845,0.941340625
1717,data_9025.png,42.00087729,0.939142704
694,data_14568.png,41.99988378,0.94527024
724,data_14926.png,41.99684084,0.939708233
705,data_14579.png,41.99194924,0.937050939
561,data_13343.png,41.98218738,0.936609149
1326,data_5301.png,41.97933851,0.939946651
1031,data_3438.png,41.9746756,0.936288834
742,data_14944.png,41.97160281,0.944704711
216,data_11516.png,41.97139864,0.936482131
1711,data_9019.png,41.97125695,0.941182613
691,data_14565.png,41.96796258,0.937404037
1702,data_9010.png,41.96763745,0.940849483
252,data_1158.png,41.96707044,0.93659848
1451,data_65.png,41.96480222,0.94029969
1558,data_7488.png,41.96186579,0.948952615
1705,data_9013.png,41.95904947,0.939759433
685,data_14559.png,41.95732865,0.933657348
1653,data_7932.png,41.95097956,0.938280582
71,data_10560.png,41.94794222,0.935376823
986,data_3080.png,41.9349804,0.935514152
802,data_15444.png,41.92567644,0.94283241
1628,data_7907.png,41.9077783,0.934987247
1042,data_3448.png,41.89474111,0.934730887
1294,data_5233.png,41.88963702,0.9341833
1032,data_3439.png,41.88321148,0.935951471
883,data_16123.png,41.88110722,0.949508071
818,data_15972.png,41.87892737,0.945258379
1209,data_4836.png,41.87752105,0.961526811
1035,data_3441.png,41.87625856,0.934368551
563,data_13345.png,41.87072579,0.935619593
1733,data_9235.png,41.86988295,0.935794234
634,data_13821.png,41.8694161,0.936753869
870,data_16110.png,41.86750847,0.951689601
1300,data_5239.png,41.8673697,0.933420599
1028,data_3435.png,41.86117387,0.933307767
28,data_10424.png,41.85856794,0.935251713
1700,data_9008.png,41.85795333,0.934177637
1026,data_3433.png,41.85157735,0.934402823
550,data_13332.png,41.84959373,0.939703345
1502,data_7261.png,41.84783063,0.936040878
788,data_15006.png,41.84328647,0.94190228
1655,data_7934.png,41.82930168,0.938637435
717,data_14919.png,41.82335284,0.937887192
1637,data_7916.png,41.82200675,0.934193552
1292,data_5231.png,41.81546215,0.935117841
1464,data_7216.png,41.8126705,0.939045906
1428,data_6287.png,41.81233074,0.932678401
757,data_14975.png,41.8120896,0.94757241
657,data_13989.png,41.80879161,0.932252586
337,data_12519.png,41.8001549,0.93681258
1706,data_9014.png,41.78264607,0.935109794
1713,data_9021.png,41.78199671,0.934997261
1636,data_7915.png,41.78171814,0.934566438
1638,data_7917.png,41.78036443,0.933494985
1474,data_7226.png,41.77045347,0.936929226
1735,data_9237.png,41.76810642,0.934466779
774,data_14992.png,41.76746137,0.938991249
1299,data_5238.png,41.76138757,0.932882488
38,data_10434.png,41.75831679,0.932138801
255,data_1161.png,41.75745524,0.937763572
1495,data_7254.png,41.75618848,0.936243236
1208,data_4835.png,41.74648143,0.959379673
1025,data_3432.png,41.74130507,0.933692873
752,data_14970.png,41.73792956,0.945455968
1592,data_7522.png,41.73505604,0.943458974
1475,data_7227.png,41.72875727,0.941020846
1430,data_6289.png,41.7170846,0.931453228
1476,data_7228.png,41.70633345,0.942697287
1712,data_9020.png,41.69482105,0.938801944
1462,data_7214.png,41.68697756,0.939757824
1642,data_7921.png,41.68460307,0.935746193
789,data_15007.png,41.67742598,0.939982831
527,data_13283.png,41.6749038,0.934414744
1708,data_9016.png,41.66449599,0.935436249
1723,data_9031.png,41.66081864,0.935374439
696,data_14570.png,41.65666526,0.938509345
1027,data_3434.png,41.65419561,0.934135795
1482,data_7234.png,41.65049821,0.940919578
1750,data_99.png,41.6461927,0.930954814
998,data_3092.png,41.64587479,0.93459481
34,data_10430.png,41.63995319,0.932582021
74,data_10563.png,41.6396703,0.931477964
1693,data_9001.png,41.63821108,0.935611904
1468,data_7220.png,41.63474834,0.937366366
