Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,1.0,0.008410901265518208,7.073297633761231e-18,5.7352686799948594e-18,39.9580626374193,0.9195305482319424
2,1.0,0.00840612491180322,4.908478818092414e-18,6.158170289472484e-18,40.06336657241736,0.9211689465045929
3,1.0,0.008407041028873729,4.1007917113235476e-18,4.4351193786210295e-18,40.02673227335385,0.92070464689391
4,1.0,0.00839911263389513,2.4234663729650075e-17,1.9781448684719707e-17,39.95039782286475,0.9189315178734916
5,1.0,0.008406106745757695,1.8706572369808492e-18,1.2479614535841671e-18,39.96320179325424,0.9210861686638423
6,1.0,0.00839382276554326,2.7498647353453912e-18,2.2668665559364262e-18,40.02738135509678,0.9209955601351602
7,1.0,0.008427494340343402,2.037423965190327e-17,1.9685962122431393e-17,39.95515397519798,0.9197318069594247
8,1.0,0.008418679538582052,1.0265587292004906e-17,8.986985725083323e-18,40.00379078773686,0.9205837877477918
9,1.0,0.00839898237117034,3.541865489316559e-18,3.0852515139439237e-18,40.02942069496604,0.9210759925161089
10,1.0,0.00839868462458253,2.1662766266075033e-17,2.0252245638573164e-17,40.020319276406056,0.9205773265361786
11,1.0,0.008420293214298519,4.288000302011144e-17,3.693422327573501e-17,40.04180678954466,0.9212369150093623
12,1.0,0.008408823580614158,1.5182728144870934e-17,1.2940314873438531e-17,40.05134871567794,0.9206558851514544
13,1.0,0.008408423314137119,3.0314876963054013e-17,2.5794419203324865e-17,39.570652779417614,0.9206657076222556
14,1.0,0.008411663396583337,1.9950133221012255e-17,1.441797087719102e-17,40.06297240647349,0.921175989491599
15,1.0,0.00841034983843565,4.5221003887241294e-18,4.1847225991839765e-18,40.03263492404771,0.9203240108489991
16,1.0,0.008407687714123832,3.341532092721876e-17,1.9655071615843352e-17,39.6794380467844,0.9165794402190617
17,1.0,0.008389671439171902,9.403947901965925e-18,7.520509190950849e-18,40.01553130397727,0.9209094991343362
18,1.0,0.00839778213608744,4.595984205856233e-18,3.0346940661990435e-18,39.91043754228683,0.9210247955662864
19,1.0,0.008398043395652036,3.0175955077714853e-17,1.858008669750415e-17,40.05900032755992,0.9207924988951002
20,1.0,0.008403571630029806,1.608712503137375e-17,1.2445683022531624e-17,39.98770190957365,0.9199156899111611
21,1.0,0.008393477763282135,3.2864287827473625e-18,2.4631362789710165e-18,39.83122914136782,0.9193022076061794
22,1.0,0.008391491348988244,1.0611826459291594e-17,1.0098250340446067e-17,40.06033437765133,0.9211026664802007
23,1.0,0.008402341525635815,2.3527535684630384e-18,2.1850778544503454e-18,40.026450693441944,0.9201291053635734
24,1.0,0.008402500212624935,1.0578061656263705e-17,7.279679909945901e-18,39.8768367426522,0.9213930403505053
25,1.0,0.008388616101550204,1.6937881662299718e-17,1.3264585210828e-17,39.998917521828346,0.9197400190149034
26,1.0,0.00840243892883882,5.5332343141713115e-18,4.562045842658827e-18,40.060459018658264,0.9206024533680507
27,1.0,0.008395356930060579,2.0676524365418396e-18,1.5951475250501594e-18,40.04567878803475,0.9208556761741639
28,1.0,0.00840053578136888,5.178686054027909e-17,4.868614907589213e-17,40.01722856325081,0.9193782708985465
29,1.0,0.008392743406318395,2.936399022365133e-17,2.0895646660329303e-17,39.7105707500024,0.918988682610648
30,1.0,0.008404482544133706,2.1595799872559065e-17,2.0775602649874622e-17,40.058760581802204,0.92089963051251
31,1.0,0.008409774222444476,2.3333003151949156e-17,1.4996134722290793e-17,40.06213170614145,0.9226433350699289
32,1.0,0.008390868087398952,1.2035529777585451e-17,8.559830879375522e-18,40.05407849416643,0.9210011679104396
33,1.0,0.008385288730296972,9.930609876929405e-18,7.242355922549617e-18,40.06177255082004,0.9208963426862444
34,1.0,0.008400145150288673,6.0154873315576494e-18,4.984066348857025e-18,40.06159944323567,0.9210484024115971
35,1.0,0.00840962384498146,1.0898370468953262e-17,7.5428836260824e-18,40.06047909472758,0.9209382840905871
36,1.0,0.008393139948303412,6.356328678326886e-16,5.677815274791053e-16,40.043626496169715,0.9204706302370343
37,1.0,0.008395752371488405,3.3723027430220132e-15,2.106079451804699e-15,40.05396958729092,0.9208842174325671
38,1.0,0.00839656442859476,3.0813129700564306e-17,2.197955920552471e-17,39.79068823727874,0.9200488948140826
39,1.0,0.008399920685615923,2.5141300166864925e-17,1.960787963823508e-17,40.077651089057454,0.9223232720920018
40,1.0,0.008385863871812555,3.4933532149983766e-17,3.841383358348874e-17,39.968367770698286,0.920840883902141
41,1.0,0.008386772076233423,2.6678421666977515e-17,1.901141139852349e-17,40.07311611434087,0.9215309462206704
42,1.0,0.00838642767640496,1.022008028039423e-17,8.19220483889367e-18,40.01632699005532,0.9207873388699123
43,1.0,0.008382080353863005,1.1392106325192168e-17,1.0387787423919068e-17,40.06844405873228,0.9209840094361986
44,1.0,0.008385149683537228,4.511816855872437e-18,2.951103935994233e-18,40.07104170280493,0.9208024658475603
45,1.0,0.008388446864638743,3.2603127280151756e-17,2.4610107796613028e-17,39.56091670009259,0.9193501040594918
46,1.0,0.008390440708724783,5.027128216875201e-17,3.7791074292430783e-17,40.05161485552399,0.9211065933704377
47,1.0,0.008382959472447899,3.4552286017527e-15,2.7258715696185183e-15,40.045487830226925,0.9215357458932059
