Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.021949500511986384,0.0319020315716231,0.9890811950566853,0.006846502505730001,29.54945118734201,0.7604723928408806
2,0.004182261646961201,0.02418872661826869,0.9980696701373509,0.0014603759726561033,30.757325614487364,0.7976752676885803
3,0.002726393596921553,0.02220556774916079,0.9982974309590452,0.0003348406396771286,31.126131417963727,0.8084287121997958
4,0.013340482119185917,0.021352280021151287,0.997851801033686,0.010120809977027499,31.404315451005147,0.8137250892383445
