Index,Image_name,PSNR,SSIM
1,data_100.png,40.90834275,0.926993132
2,data_10015.png,40.24155269,0.919055641
3,data_10016.png,39.63967256,0.911268592
4,data_10017.png,39.25594273,0.910749197
5,data_10018.png,40.25017651,0.921731353
6,data_10019.png,41.14961211,0.928342938
7,data_10020.png,41.21065691,0.93053174
8,data_10021.png,40.84475142,0.927273929
9,data_10022.png,38.49429162,0.904364586
10,data_10023.png,37.73518398,0.891772747
11,data_10024.png,40.04824562,0.917690754
12,data_10025.png,40.12242397,0.920337558
13,data_10026.png,41.42570258,0.933388114
14,data_10027.png,41.36043746,0.931425929
15,data_10028.png,40.25742285,0.92408818
16,data_10029.png,40.29606441,0.918393075
17,data_10030.png,39.71291753,0.910696507
18,data_10031.png,37.64158576,0.885729313
19,data_10032.png,40.55529284,0.927967668
20,data_10033.png,40.99499427,0.93486774
21,data_101.png,40.64245294,0.923715353
22,data_102.png,41.25575006,0.927603126
23,data_103.png,40.72236143,0.924256027
24,data_104.png,40.7996741,0.922503829
25,data_10421.png,38.77926082,0.904892623
26,data_10422.png,39.41153504,0.914925575
27,data_10423.png,40.61186479,0.923687339
28,data_10424.png,41.66137095,0.935692668
29,data_10425.png,41.26048892,0.932302833
30,data_10426.png,40.77359352,0.927362561
31,data_10427.png,40.90659038,0.929057777
32,data_10428.png,39.78023419,0.917623699
33,data_10429.png,39.13463868,0.910256088
34,data_10430.png,41.49944857,0.933479726
35,data_10431.png,41.38906897,0.931304574
36,data_10432.png,42.11387918,0.93827337
37,data_10433.png,41.40186308,0.933510959
38,data_10434.png,41.72832429,0.934114933
39,data_10435.png,41.22886775,0.927078009
40,data_10436.png,39.00221118,0.9060359
41,data_10437.png,40.23970009,0.915176749
42,data_10438.png,41.11077334,0.929171264
43,data_10439.png,41.38533572,0.933203101
44,data_10440.png,41.47609608,0.932781696
45,data_10441.png,41.04428391,0.927090347
46,data_10483.png,38.65559067,0.890353441
47,data_10484.png,38.76217841,0.898583293
48,data_10485.png,39.99909187,0.918946445
49,data_10486.png,40.56670706,0.922803342
50,data_10487.png,38.33122262,0.894387603
51,data_10488.png,39.49329626,0.911266983
52,data_10489.png,39.20646936,0.907358825
53,data_10490.png,39.21533767,0.909462452
54,data_10491.png,38.6737362,0.906400859
