Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.0015342451407023637,0.01017231916799309,0.99914122725351,0.00033060611545181055,38.6136050027148,0.9090950605589584
2,1.3883564069471494e-05,0.010021257668918196,0.9999951801767029,1.1235004609305784e-07,39.3124516480905,0.9147527139613082
3,7.507642898363839e-08,0.009988875745478491,0.9999999317006445,6.774426113185458e-09,39.72087796453326,0.9142277174155805
4,1.1461681642893053e-07,0.009895787418971111,0.9999998911544561,5.771751528272617e-09,39.50113783295518,0.9171309552712148
5,5.240000673367015e-07,0.009883540902183546,0.9999994969476337,2.0518486508949502e-08,39.537496430468806,0.9162377508658937
6,2.8108319613346293e-08,0.0098192438300551,0.9999999765810808,4.689000186387865e-09,39.65400066509388,0.9163583079196888
7,0.007719504442144036,0.009826086985028973,0.9963480505910441,0.002467834613705,39.39878335006864,0.9131786753345468
8,5.762367925296291e-05,0.009790141817322663,0.9999999367339645,3.2317565502727957e-06,39.68720798639702,0.9186397780919208
9,3.0642489535131235e-06,0.009779571064156252,0.9999979431198203,8.224810513354308e-07,39.414967775881834,0.9050983185541697
10,1.139360793067052e-07,0.009690315396155086,0.9999999704292453,8.372106237447596e-08,39.72396089048235,0.9177910002916219
11,2.279789664759395e-06,0.009731337397645085,0.9999999553292854,3.057423655568574e-07,39.70063843449259,0.917830276256167
12,7.380479586689812e-08,0.009644155364481957,0.9999999564478009,3.011560328683519e-08,39.81206547278258,0.9170885662126808
13,2.6304355291975184e-08,0.009713762061851471,0.999999980146349,6.4459587432163286e-09,39.53213092538181,0.9192185638337161
14,3.2799757888616396e-08,0.009605299093494439,0.9999999754625652,8.257942806467524e-09,39.910877833013615,0.9180990780532027
15,8.055717618413624e-07,0.009590899354954774,0.9999991980942616,3.6637749115432397e-09,39.42233527096449,0.9179838306411019
16,0.11477047834385595,0.009547631287139815,0.9910024176103911,0.10515919397388722,39.726810841822164,0.9173613310526203
17,0.8816168693687153,0.00912050552447181,0.7267920994335667,0.5939534557402995,39.30761743457447,0.911354417074992
18,0.02246473138119837,0.009571846510372262,0.9966463575071646,0.017381794329102893,39.916912718029245,0.9182388412885826
19,0.0007773874507260971,0.00953903518947028,0.9996227316974527,6.162252909928671e-05,39.88326458348639,0.9173192621609352
20,0.00011033185020874316,0.009545924535231181,0.9999075517541169,1.336300571038329e-05,39.85820367751815,0.918092973238929
21,0.00020464947933885084,0.009562121503100972,0.9999489649407169,8.622909953442912e-05,39.96321120318409,0.919856674344846
22,5.601957194178826e-06,0.009498563051696721,0.9999973712175791,2.7090404370467662e-06,39.608667015658185,0.9114023347140691
23,4.428833659666817e-06,0.009515451812692585,0.9999976952987198,1.9851394594912147e-06,39.83281308403679,0.9171570134895474
24,7.579704694156149e-06,0.00947969328033716,0.999996413750796,1.922390232438998e-06,39.65728929345265,0.917351076722811
25,1.9861168911881822e-06,0.009493813323769912,0.9999990349395449,9.685781511676663e-07,39.97945225940378,0.9180402870617765
26,2.520234443296838e-06,0.009467914890704913,0.9999989212529259,7.812844585025353e-07,39.93136361153909,0.9177802969290557
27,1.422599914672589e-06,0.009469563047527357,0.999999272903727,6.398113306427363e-07,40.01397754227441,0.9177664108782507
28,6.953476007586985e-07,0.009424209213377208,0.9999995845588592,2.628684196647699e-07,39.86065904686408,0.9176920091306697
29,5.697890568652826e-07,0.009414986241677126,0.9999997068790201,2.452900234264717e-07,40.069607013736565,0.9203106652757975
30,0.5398484232304481,0.009150085528377755,0.9377758921617079,0.45665765977538375,39.869616703283675,0.9202801628485738
31,1.8510118440410268e-05,0.009489006830359978,0.9999913411080321,8.83350365114388e-06,39.989662184891344,0.9192576468323862
32,9.838429941869063e-05,0.009383690089212365,0.999910702900774,5.78468839126045e-06,39.961526072956616,0.921282890122696
33,4.71669594192517e-06,0.009420420646666388,0.9999986161778109,3.1592215854809017e-06,39.976227411076295,0.9171174671396863
34,2.846412620085612e-06,0.009454069250866634,0.9999983695713486,1.1934736677073822e-06,39.32641991078857,0.9013288222544686
35,0.00020250761107737996,0.009415756731902097,0.9998808711736612,4.479807324370397e-06,40.022117203705214,0.9184127325119253
36,2.0200165909647294e-06,0.009404328156094969,0.9999981680899976,1.8730698170770752e-07,39.83587309010024,0.9194255356349093
37,0.0004330773923638568,0.009409972761995657,0.9998304680669226,0.00018005416390705925,39.890475471355685,0.9168185653300259
38,0.050242496010552744,0.009405844922840656,0.9865121956679272,0.03253817046404284,39.9778070973307,0.9201984388868236
39,1.8098992371021548e-05,0.009377119022019709,0.999991802985045,9.891297581842617e-06,40.024778120326474,0.9205861146556599
40,1.5660101259051822e-05,0.009368649223215059,0.999991574292308,7.2295983880637425e-06,39.88674550035694,0.9194251785065208
