Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.8895010428441971,0.004487757990136743,0.264438718890375,0.1439210829153507,27.956713022726724,0.7221982367813672
2,1.0003270930962191,0.0027266117121141284,0.44894278988119213,0.44638622248756865,28.79352647099353,0.7294224253504578
3,1.0023063988094714,0.002503049532322264,0.4455420784631527,0.4462227973267348,28.89398964603478,0.734091864286751
4,1.0031800355880336,0.002704798447775724,0.07665453279873238,0.07925241145277419,29.053854335578325,0.7377689410409073
5,1.0000000442826438,0.0027058737211248783,2.3354158588715552e-06,2.3789252417447094e-06,29.393420750520555,0.7411340079343166
6,1.0000000027998723,0.0026708991153726637,1.4843993509113418e-07,1.51724274791421e-07,29.364606634129334,0.7413823169842892
7,0.9999999999055258,0.002626897422603522,8.640491248691915e-09,8.888232741718985e-09,29.426695632871045,0.7421864571518783
8,0.999999999725166,0.0026199794055019056,7.733992497413877e-08,7.569316827270525e-08,29.28707419249962,0.7436081532436618
9,0.9999999999141144,0.002600940638902847,3.994641832345334e-09,4.0066330787341315e-09,29.51317178318643,0.7450315582633528
10,0.9999999998883486,0.002577083831571139,2.297215747179748e-09,2.2364535596763203e-09,29.40976530749043,0.7429462790404411
11,1.0000079332665683,0.002567450119778299,0.000523702079624815,0.0005137371036815563,29.379289574203305,0.7446490870642968
12,1.0,0.0025554237205713654,6.89015638497499e-13,2.490343704594825e-13,29.368427492837608,0.7443227785325491
13,1.0,0.002536036619418019,7.800404178840407e-13,1.557659829718137e-12,29.516993074066207,0.7445777238135995
14,1.0,0.002550983201592935,7.845444306534983e-13,1.1619108878486269e-12,29.36769566212288,0.7451757175230539
15,1.0,0.002536824796320629,4.828344411674708e-13,9.604714240043923e-13,29.5630411222935,0.7458848117043928
16,1.0,0.002526988714993113,3.3091787255195373e-13,6.331115358966651e-13,29.577805869776633,0.7460480836640042
17,1.0,0.0025283145103825026,1.0821717647848942e-12,1.3690559875885596e-12,29.615099928291,0.746487632754178
18,1.0,0.0025233870938316965,3.8921733236821264e-13,5.6328849014292e-13,29.571559913459147,0.7463280443912889
