Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.019729407610126,0.01831862815643343,0.9904431056068542,0.008168063195835792,37.143158406670004,0.8602219408783833
2,0.0027897212254024964,0.011476961729793827,0.9987097090158517,0.0009295805827038752,38.909676038350064,0.90032993098877
3,2.496892047873409e-06,0.010426766977228608,0.9999986258949147,8.230410511778967e-07,39.4898519259219,0.9124620357039255
4,0.46200082251020635,0.009550469731080504,0.9995375062737049,0.4615170197875527,39.59641404310608,0.910437202486912
5,1.0,0.008831364398879807,1.0,1.0,39.38097994419114,0.908445257381354
