Epoch,Loss,PSNR,SSIM
1,0.01616871313863833,35.62460125554764,0.8451990401744842
2,0.00928668552108242,38.207881841229664,0.8946051969187601
3,0.008292879813783138,39.20589348565536,0.9123316255637578
4,0.008000494496298156,39.02256994111994,0.9116172592980522
5,0.007818361819123052,39.0611543011236,0.9137468420437405
6,0.007700737954849111,38.55715553130235,0.9170822271619524
7,0.00763471383534904,39.55861025482084,0.9133171335288457
8,0.0075978113687929835,39.542221042821616,0.914700220652989
9,0.007609257131948002,39.751113370812064,0.9171863528319768
10,0.007530829937197268,38.96639712813299,0.9168316210678645
11,0.007513445864764175,39.544908288653914,0.9186112670898438
12,0.0075299890859252105,39.47631278485284,0.9183287592955998
13,0.00749354527950553,38.80493378512013,0.9183984812327793
14,0.007462404916162736,39.677471460974914,0.9206515763487134
15,0.00745426281717872,39.84532323593687,0.9201727314676558
16,0.007423716097571222,39.89087821403682,0.9199724172524043
17,0.007434916020570589,39.88030014298937,0.9208342047418867
18,0.007421033285192347,39.89642148046942,0.9202587149483817
19,0.007415183065292825,39.924696789351,0.9207921339443752
20,0.0074024406831844575,39.902278246241686,0.9198960029057094
21,0.0074005465028874045,39.92973417991861,0.9198016214030129
22,0.007396949407777616,39.59100065464423,0.920032519544874
23,0.007387549031326281,39.98385575403021,0.9223869546481541
24,0.0073754695141022755,39.96738719913358,0.9215740757329124
25,0.0073642428520667765,39.957574426652926,0.9203030960900443
26,0.007379340512544981,39.20903416159075,0.9206148221492767
27,0.007348177130932786,39.90907785752315,0.9192261887277876
28,0.007346429084128301,39.93730299290712,0.9205765847478594
29,0.007340268097851159,39.96152264983834,0.921507493019104
30,0.007338044302471514,39.96992426709185,0.9206814719268254
31,0.007339734948905451,39.95918274522568,0.9209995496954236
32,0.007360985952629043,39.98165392596144,0.9206012442452567
33,0.0073082933180765915,39.97282817842654,0.9204703213146754
34,0.007329145838406735,39.672112495747726,0.9193098727634975
35,0.007324171395174095,39.0158003140092,0.9191801994187492
