Epoch,Loss,PSNR,SSIM
1,0.0012175977975081855,29.91777076426606,0.759371199572239
2,0.001217448002755259,29.923037441238243,0.7594492776507504
3,0.0012091223718210364,29.863174305877564,0.7591051571230122
4,0.0012176297455828138,29.768851120471794,0.7588337672977664
5,0.0012169956003715988,29.92799940891888,0.7595303171601777
6,0.001218807430314104,29.860450471088384,0.7586204779054837
7,0.0012226098988049024,29.828952507105644,0.7586714299355937
8,0.0012146957001322326,29.939516449248984,0.759679181625799
9,0.0012207181658821207,29.92305929592338,0.7594258187505633
10,0.0012172689561396875,29.917299886454472,0.7593003848453673
11,0.0012179523232345663,29.933479268745323,0.759737124420162
12,0.0012138689591938338,29.906896763880507,0.7594009929920836
13,0.001210424165785733,29.93344293149753,0.7594237042058413
14,0.0012046475089109846,29.913658923543927,0.7596731211136958
15,0.0012130737038742862,29.904429197922695,0.7591247531462191
16,0.0012106915380018083,29.904763562216434,0.7595282907718276
17,0.0012168008316618506,29.89943858402895,0.7591644490341712
18,0.0012094559067535784,29.929385513771475,0.7593159940766746
19,0.0012003857457284146,29.932065391013502,0.7594179070818305
20,0.001207288724447841,29.919808484930662,0.759864935813045
21,0.0012136220529852916,29.935991992077696,0.7595238063701695
22,0.0012113590144943725,29.90876634750732,0.7593981065121009
23,0.0012063297364938229,29.93285207210168,0.7595065505711486
24,0.0012105130870234905,29.93203954281035,0.759555079858978
25,0.0012078810964636112,29.93036446666647,0.759073975923899
26,0.001211083290575592,29.926002198225806,0.7588036818109231
27,0.0012142459194401769,29.938759740141222,0.7598995752261679
28,0.0012118159179426741,29.920388972546256,0.7591422853480023
29,0.0012055334914196803,29.919891917925185,0.759135759466064
