Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.5691528307325049,0.013770084819358513,2.538833980239232,2.0839037381586634,35.49591264427656,0.8527612875959727
2,-757.3902351704096,0.4085499734544153,377.69475050671434,-380.9095936675144,26.7911454908417,0.38603498895949157
3,-2843.2944897700745,1.4553806402815677,1417.929632460087,-1427.2729714995796,26.78141307011199,0.3856856282800436
4,-5808.800502480134,2.9809333036857546,2872.340905364422,-2941.5386018326617,26.33649098693164,0.3855591203039252
5,-9958.644189181103,5.010605669481683,4975.317041942651,-4982.734283084867,26.782000923004304,0.3856196642421477
6,-15014.01288809089,7.535167681984467,7508.4034361728145,-7508.108702816899,26.782272854519253,0.38561951639598974
7,-21120.76978809696,10.589042966272489,10560.386687109432,-10561.917761439854,26.782272854519253,0.3856195097674704
8,-28128.865431090566,14.101196450489198,14058.470232382073,-14074.21273342435,26.782273132559126,0.385619604699938
9,-34314.19870469815,16.752616818538247,17684.751580650376,-16653.514651025744,8.516072184953325,0.2058434165473091
10,-42902.564234361256,21.019415000085214,21978.255657505313,-20933.856666930697,13.636939896539708,0.250305580126132
11,-52231.89146054006,25.289260474638652,27027.422157545974,-25215.228367515647,14.26134567536787,0.3370934015753882
12,-65082.66269809,32.57168353037993,32578.4447352386,-32513.32393513025,9.096716402239055,0.24778979938664583
13,-73872.12753869026,36.11500514343035,37881.637901047776,-36032.24888255823,26.641832213521035,0.38552048531823985
14,-88146.0228802824,43.85815310305613,44332.58982213133,-43821.56501191747,18.289734358481216,0.38117585640254964
15,-102613.07720126722,51.30193130342322,51353.73411872572,-51272.70101424484,18.756796342693146,0.3753273243074144
16,-115642.45729897788,58.5598475531021,57120.2145221902,-58518.98623134209,25.000189672378852,0.38549017598176133
17,-133308.4928987685,66.68397229033435,66661.48044412477,-66648.14015826583,25.670506099014766,0.3854743395853975
18,-149076.6447563132,74.24852176422081,74859.07818684944,-74209.2678452802,25.407682647498817,0.3849951654526941
19,-167491.65877208253,83.7857862382214,83738.0814797592,-83755.886258888,26.546158342136952,0.3854980986960773
20,-186051.79059842764,93.05541534938345,93025.93823073963,-93028.31748231564,26.77999622345318,0.38561825020311596
21,-205538.17740021626,102.79851243629115,102769.2421645928,-102771.4434467087,26.782272854519253,0.3856195074469684
22,-225981.33274767263,113.02001942946508,112990.8159635684,-112992.98356866662,26.782272854519253,0.3856195074469684
23,-247388.97570920686,123.72386761016466,123694.69578095221,-123696.90506798857,26.782272854519253,0.3856195074469684
24,-269780.61638689344,134.91983569337728,134890.28873607243,-134892.90902291637,26.782272854519253,0.3856195074469684
25,-293168.47170044715,146.61360716977055,146584.46136242853,-146586.74956934468,26.782272854519253,0.3856195074469684
26,-317562.0634621023,158.81071220278267,158781.28810841517,-158783.53456925304,26.782272854519253,0.3856195074469684
27,-342928.5663713165,171.4940217066643,171464.52692283023,-171466.92674507038,26.782272854519253,0.3856195074469684
28,-369267.6924067219,184.66378583518,184633.8477473061,-184636.82664290426,26.782272854519253,0.3856195074469684
29,-396579.5551101378,198.31954796106965,198289.91709655843,-198292.6863569308,26.782272854519253,0.3856195074469684
30,-424867.7078874065,212.46377967036972,212434.149357224,-212436.69505021258,26.782272854519253,0.3856195074469684
