Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.7991696545731809,0.006220107337526445,0.6146908052211095,0.409815195257709,27.23212579300503,0.9550991136346545
2,0.7907131556011736,0.006251224359929828,0.6247277426029156,0.41034844587912916,27.79783278631385,0.9629350430624826
3,0.7411706320236304,0.006119838133520846,0.6311730634467011,0.3657967021199542,28.33300406419195,0.9698105093751634
4,0.21500560333433427,0.005837740197145779,0.8961062243197645,0.10824191392169034,30.052511752436946,0.9767249422073364
5,0.028895699091887633,0.005685343911106299,0.9862001870744197,0.013878024266941274,29.765745746042622,0.9767690969194684
