Epoch,Loss,PSNR,SSIM
1,0.0013086114607708636,29.65719073507961,0.7544894537240648
2,0.0012997843334406026,29.640508319661723,0.7543225953750217
3,0.0013021087940439354,29.63812547516654,0.7538128398772154
4,0.001312279535437006,29.65031912428058,0.7540790248519157
5,0.0013056114335775351,29.645637955932468,0.7540855501615475
6,0.0013095170995574066,29.623377686592743,0.7539547559292523
7,0.001305204048720997,29.653680932062223,0.7543918559086611
8,0.001312300771362994,29.620699059902805,0.7543595192230612
9,0.0013161558915667374,29.64350424522511,0.7540099658760882
10,0.0013069177238130237,29.616823506996926,0.7542699729311009
11,0.0013017102492861364,29.608644042325558,0.7536425814986398
12,0.001312863492365891,29.631821471338053,0.7543086560912017
